protocol_version,session_id,run_id,timestamp_utc,device_model,operating_system,unity_version,model_id,model_version,model_variant,model_asset,backend,quantization,output_kind,tensor_layout,parameters_millions,gflops_at_640,input_width,input_height,output_count,output_shape,iteration,preprocessing_ms,scheduling_ms,execution_readback_ms,total_ms,completion_frame_ms,allocated_memory_bytes,reserved_memory_bytes,mono_used_memory_bytes,battery_level,battery_status,gc_gen0_count,gc_gen1_count,gc_gen2_count
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:40.5816200Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",0,0.7571,5.836,229.1854,235.7787,13.902083,133244190,255279104,60919808,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:40.8179360Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",1,0.8889,5.7669,215.7149,222.371,13.978018,133255038,255279104,60919808,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:41.0958030Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",2,0.9976,5.911,257.0378,263.9466,13.985523,133265775,255279104,60919808,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:41.3598170Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",3,0.6463,5.745,243.8448,250.2364,13.928125,133276366,255279104,60923904,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:41.6239670Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",4,1.129,6.5726,242.4584,250.1603,13.899377,133287111,255279104,60923904,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:41.8875200Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",5,1.0325,6.3835,242.163,249.5791,13.653593,133297830,255279104,60923904,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:42.1239780Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",6,0.7698,5.3024,216.4857,222.5581,14.059424,133308614,255279104,60923904,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:42.3600580Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",7,0.9963,5.5345,215.6545,222.1854,13.820415,133318902,255279104,60932096,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:42.5962270Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",8,0.6906,5.9326,215.7397,222.363,13.885105,133329462,255279104,60936192,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:42.8324700Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",9,0.6583,5.7798,215.9609,222.3992,14.005371,133339542,255279104,60936192,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:43.0682590Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",10,0.9762,5.9878,215.1474,222.1117,13.69932,133349238,255279104,60936192,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:43.3044640Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",11,0.5495,5.3295,216.3232,222.2023,13.950631,133359478,255279104,60936192,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:43.5404620Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",12,0.7892,5.4121,215.5136,221.7152,13.779535,133369046,255279104,60940288,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:43.7766350Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",13,0.7938,5.9104,215.5048,222.2092,13.870415,133378934,255279104,60944384,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:44.0127390Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",14,0.869,6.1464,215.2034,222.219,13.899377,133388726,255279104,60952576,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:44.2488880Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",15,0.6763,5.6775,216.021,222.3751,13.957349,133398390,255279104,60952576,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:44.4989990Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",16,0.6489,5.494,230.0408,236.184,14.006562,133408022,255279104,60952576,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:44.7351680Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",17,0.8458,6.0373,215.3482,222.2315,13.963697,133417622,255279104,60956672,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:44.9711290Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",18,0.78,5.9426,215.3725,222.0954,13.871875,133427350,255279104,60956672,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:45.2073530Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",19,0.7476,5.1874,216.3514,222.2867,14.009219,133436902,255279104,60960768,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:45.4434860Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",20,0.7136,5.7692,215.7397,222.2228,13.905109,133446486,255279104,60960768,0.88,Discharging,23,23,23
